idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
4159	1.6607E-01	5.1715E-01	3.8150E+00	-4.1058E-01	2.3847E+00	1.6048E+01	6.9399E-02	-1.3388E-01	1.3179E+00
4160	1.7804E-01	9.6838E-01	7.0069E+00	-4.1963E-01	2.4335E+00	1.6331E+01	6.3931E-02	-1.2887E-01	1.2758E+00
4161	1.6732E-01	7.2267E-01	6.0382E+00	-4.1324E-01	2.3394E+00	1.5814E+01	6.2902E-02	-1.2620E-01	1.3113E+00
4162	1.8628E-01	6.8377E-01	4.6541E+00	-4.1665E-01	2.3333E+00	1.5728E+01	6.5864E-02	-1.2906E-01	1.2956E+00
4163	1.8200E-01	6.8744E-01	4.9212E+00	-4.1364E-01	2.3067E+00	1.5474E+01	5.8079E-02	-1.2586E-01	1.2896E+00
4164	1.8677E-01	6.8651E-01	5.1559E+00	-4.1860E-01	2.4360E+00	1.6318E+01	5.1792E-02	-1.2678E-01	1.3003E+00
4165	1.7814E-01	7.0467E-01	5.6245E+00	-4.1599E-01	2.3877E+00	1.6091E+01	6.3948E-02	-1.2920E-01	1.3437E+00
4166	1.7885E-01	2.9310E-01	3.6501E+00	-4.1388E-01	2.3851E+00	1.6068E+01	4.1838E-02	-1.2834E-01	1.2682E+00
4167	1.6625E-01	8.0317E-01	6.2058E+00	-4.1256E-01	2.3591E+00	1.5927E+01	6.8647E-02	-1.2733E-01	1.3009E+00
4168	1.8351E-01	7.5706E-01	5.6209E+00	-4.1919E-01	2.3228E+00	1.5615E+01	5.6964E-02	-1.2200E-01	1.3264E+00
4169	1.5903E-01	5.1633E-01	4.3446E+00	-4.1176E-01	2.4302E+00	1.6144E+01	6.2001E-02	-1.3332E-01	1.3162E+00
4170	1.7183E-01	4.5383E-01	5.5633E+00	-4.1011E-01	2.3689E+00	1.6147E+01	4.2458E-02	-1.2702E-01	1.2847E+00
4171	1.7731E-01	7.3181E-01	5.9454E+00	-4.1262E-01	2.2955E+00	1.5524E+01	6.6167E-02	-1.2730E-01	1.2948E+00
4172	1.7663E-01	7.2207E-01	5.4205E+00	-4.1966E-01	2.5010E+00	1.6905E+01	6.9408E-02	-1.3029E-01	1.2953E+00
4173	1.7602E-01	5.8370E-01	5.5035E+00	-4.1144E-01	2.3840E+00	1.6224E+01	5.4173E-02	-1.2914E-01	1.2813E+00
4174	1.7152E-01	5.1253E-01	5.3175E+00	-4.1081E-01	2.4006E+00	1.6417E+01	5.2975E-02	-1.3090E-01	1.3327E+00
4175	1.8144E-01	5.6968E-01	4.7825E+00	-4.1348E-01	2.3916E+00	1.6135E+01	5.6689E-02	-1.2907E-01	1.2928E+00
4176	1.6552E-01	6.2896E-01	5.8850E+00	-4.1191E-01	2.3154E+00	1.5746E+01	6.3866E-02	-1.2516E-01	1.2598E+00
4177	1.6811E-01	5.6553E-01	4.5882E+00	-4.0805E-01	2.2984E+00	1.5399E+01	5.9461E-02	-1.2930E-01	1.3452E+00
4178	1.7203E-01	3.8585E-01	4.4347E+00	-4.1266E-01	2.2987E+00	1.5631E+01	6.0170E-02	-1.2610E-01	1.3341E+00
4179	1.6312E-01	5.2311E-01	4.4853E+00	-4.1120E-01	2.3864E+00	1.6024E+01	6.9922E-02	-1.2976E-01	1.3098E+00
4180	1.7142E-01	6.0974E-01	5.6186E+00	-4.1596E-01	2.3803E+00	1.6286E+01	6.1382E-02	-1.2782E-01	1.2976E+00
4181	1.7354E-01	4.0179E-01	4.6282E+00	-4.1389E-01	2.4758E+00	1.6696E+01	5.6958E-02	-1.3108E-01	1.3510E+00
4182	1.7792E-01	4.5085E-01	5.7430E+00	-4.1234E-01	2.3220E+00	1.5839E+01	3.8106E-02	-1.2570E-01	1.3208E+00
4183	1.7444E-01	6.9176E-01	5.3926E+00	-4.1318E-01	2.3865E+00	1.6055E+01	6.1333E-02	-1.2906E-01	1.3600E+00
