kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
1.100000E+00	-2.476970E-02	2.683926E-02	-7.437981E-04	2.360187E-03	-2.415282E-02	2.460832E-02	6.057478E-03	1.109879E-02	2.107513E-04	4.698535E-04	5.991771E-03	1.096152E-02
1.110000E+00	-2.355980E-02	2.553801E-02	-7.069787E-04	2.243605E-03	-2.297359E-02	2.341745E-02	5.897320E-03	1.067631E-02	2.028636E-04	4.579035E-04	5.830009E-03	1.053334E-02
1.120000E+00	-2.240003E-02	2.429017E-02	-6.717118E-04	2.131926E-03	-2.184319E-02	2.227533E-02	5.737509E-03	1.026651E-02	1.952549E-04	4.460877E-04	5.668909E-03	1.011857E-02
1.130000E+00	-2.128885E-02	2.309411E-02	-6.379483E-04	2.024995E-03	-2.076012E-02	2.118049E-02	5.578240E-03	9.869111E-03	1.879111E-04	4.343905E-04	5.508647E-03	9.716914E-03
1.140000E+00	-2.022474E-02	2.194823E-02	-6.056396E-04	1.922660E-03	-1.972290E-02	2.013147E-02	5.419710E-03	9.483843E-03	1.808192E-04	4.228009E-04	5.349402E-03	9.328067E-03
1.150000E+00	-1.920618E-02	2.085094E-02	-5.747379E-04	1.824769E-03	-1.873006E-02	1.912683E-02	5.262115E-03	9.110445E-03	1.739672E-04	4.113119E-04	5.191349E-03	8.951737E-03
1.160000E+00	-1.823169E-02	1.980069E-02	-5.451959E-04	1.731175E-03	-1.778014E-02	1.816515E-02	5.105647E-03	8.748661E-03	1.673443E-04	3.999199E-04	5.034663E-03	8.587633E-03
1.170000E+00	-1.729981E-02	1.879594E-02	-5.169673E-04	1.641732E-03	-1.687174E-02	1.724503E-02	4.950492E-03	8.398241E-03	1.609404E-04	3.886242E-04	4.879511E-03	8.235473E-03
1.180000E+00	-1.640908E-02	1.783515E-02	-4.900063E-04	1.556294E-03	-1.600343E-02	1.636508E-02	4.796831E-03	8.058939E-03	1.547466E-04	3.774264E-04	4.726056E-03	7.894977E-03
1.190000E+00	-1.555809E-02	1.691684E-02	-4.642681E-04	1.474722E-03	-1.517384E-02	1.552394E-02	4.644838E-03	7.730514E-03	1.487543E-04	3.663300E-04	4.574455E-03	7.565871E-03
1.200000E+00	-1.474545E-02	1.603954E-02	-4.397087E-04	1.396877E-03	-1.438162E-02	1.472028E-02	4.494676E-03	7.412728E-03	1.429561E-04	3.553399E-04	4.424856E-03	7.247885E-03
1.210000E+00	-1.396979E-02	1.520179E-02	-4.162850E-04	1.322622E-03	-1.362541E-02	1.395277E-02	4.346501E-03	7.105349E-03	1.373449E-04	3.444623E-04	4.277398E-03	6.940753E-03
1.220000E+00	-1.322976E-02	1.440219E-02	-3.939548E-04	1.251825E-03	-1.290394E-02	1.322013E-02	4.200460E-03	6.808145E-03	1.319143E-04	3.337040E-04	4.132212E-03	6.644211E-03
1.230000E+00	-1.252406E-02	1.363935E-02	-3.726769E-04	1.184356E-03	-1.221590E-02	1.252110E-02	4.056686E-03	6.520889E-03	1.266584E-04	3.230727E-04	3.989419E-03	6.358001E-03
1.240000E+00	-1.185139E-02	1.291191E-02	-3.524108E-04	1.120088E-03	-1.156006E-02	1.185443E-02	3.915308E-03	6.243356E-03	1.215717E-04	3.125761E-04	3.849132E-03	6.081867E-03
1.250000E+00	-1.121050E-02	1.221854E-02	-3.331173E-04	1.058896E-03	-1.093518E-02	1.121892E-02	3.776438E-03	5.975323E-03	1.166491E-04	3.022222E-04	3.711453E-03	5.815556E-03
1.260000E+00	-1.060017E-02	1.155794E-02	-3.147581E-04	1.000660E-03	-1.034009E-02	1.061338E-02	3.640182E-03	5.716571E-03	1.118859E-04	2.920192E-04	3.576474E-03	5.558819E-03
1.270000E+00	-1.001920E-02	1.092885E-02	-2.972957E-04	9.452625E-04	-9.773608E-03	1.003666E-02	3.506634E-03	5.466879E-03	1.072778E-04	2.819747E-04	3.444278E-03	5.311410E-03
1.280000E+00	-9.466432E-03	1.033003E-02	-2.806939E-04	8.925882E-04	-9.234606E-03	9.487628E-03	3.375876E-03	5.226033E-03	1.028205E-04	2.720965E-04	3.314937E-03	5.073084E-03
1.290000E+00	-8.940724E-03	9.760284E-03	-2.649172E-04	8.425256E-04	-8.721979E-03	8.965197E-03	3.247984E-03	4.993816E-03	9.851014E-05	2.623917E-04	3.188514E-03	4.843603E-03
1.300000E+00	-8.440976E-03	9.218434E-03	-2.499314E-04	7.949664E-04	-8.234654E-03	8.468294E-03	3.123019E-03	4.770017E-03	9.434304E-05	2.528672E-04	3.065065E-03	4.622728E-03
1.310000E+00	-7.966116E-03	8.703344E-03	-2.357030E-04	7.498055E-04	-7.771586E-03	7.995880E-03	3.001036E-03	4.554424E-03	9.031563E-05	2.435293E-04	2.944634E-03	4.410224E-03
1.320000E+00	-7.515104E-03	8.213908E-03	-2.221997E-04	7.069408E-04	-7.331762E-03	7.546947E-03	2.882078E-03	4.346827E-03	8.642450E-05	2.343838E-04	2.827256E-03	4.205860E-03
1.330000E+00	-7.086930E-03	7.749052E-03	-2.093903E-04	6.662733E-04	-6.914199E-03	7.120513E-03	2.766181E-03	4.147018E-03	8.266639E-05	2.254359E-04	2.712960E-03	4.009406E-03
1.340000E+00	-6.680616E-03	7.307734E-03	-1.972444E-04	6.277072E-04	-6.517942E-03	6.715629E-03	2.653370E-03	3.954792E-03	7.903812E-05	2.166902E-04	2.601764E-03	3.820638E-03
1.350000E+00	-6.295212E-03	6.888943E-03	-1.857326E-04	5.911500E-04	-6.142069E-03	6.331372E-03	2.543665E-03	3.769943E-03	7.553660E-05	2.081508E-04	2.493681E-03	3.639332E-03
