i,obs,value,stat,syst1,Q2,x,z,pT,target,hadron
202,M_Hermes,0.01871569,0.00186853,0.007891939,2.882131,0.1519989,0.4196338,0.9144694,deuteron,k+
203,M_Hermes,0.04984036,0.003510849,0.01833146,2.882131,0.1519989,0.5296097,0.1026676,deuteron,k+
204,M_Hermes,0.114335,0.00667386,0.02561563,2.882131,0.1519989,0.5329051,0.202413,deuteron,k+
205,M_Hermes,0.1394797,0.007769462,0.03134893,2.882131,0.1519989,0.53273,0.2984584,deuteron,k+
206,M_Hermes,0.1627961,0.009132672,0.0366485,2.882131,0.1519989,0.5355825,0.3980681,deuteron,k+
207,M_Hermes,0.1369188,0.007368616,0.03068912,2.882131,0.1519989,0.5341857,0.5225556,deuteron,k+
208,M_Hermes,0.1005057,0.005498442,0.02841361,2.882131,0.1519989,0.5334614,0.6836656,deuteron,k+
209,M_Hermes,0.01886707,0.001690222,0.005336687,2.882131,0.1519989,0.5380746,0.9181759,deuteron,k+
210,M_Hermes,0.02575995,0.002169428,0.007263684,2.882131,0.1519989,0.683877,0.1041645,deuteron,k+
211,M_Hermes,0.04846409,0.00394576,0.01883657,2.882131,0.1519989,0.6847567,0.2060482,deuteron,k+
212,M_Hermes,0.06152828,0.004841852,0.01016214,2.882131,0.1519989,0.6866759,0.3012427,deuteron,k+
213,M_Hermes,0.07147722,0.004988367,0.01537403,2.882131,0.1519989,0.6858937,0.3989941,deuteron,k+
214,M_Hermes,0.06199819,0.003468773,0.02516578,2.882131,0.1519989,0.6870142,0.5245556,deuteron,k+
215,M_Hermes,0.05242419,0.003031609,0.01083761,2.882131,0.1519989,0.6887344,0.6934883,deuteron,k+
216,M_Hermes,0.02148072,0.001364013,0.004450619,2.882131,0.1519989,0.6909743,0.9257864,deuteron,k+
217,M_Hermes,0.006500992,0.000850985,0.001343185,2.882131,0.1519989,0.8806495,0.1018206,deuteron,k+
218,M_Hermes,0.01017548,0.001510384,0.003963203,2.882131,0.1519989,0.8664594,0.2077843,deuteron,k+
219,M_Hermes,0.01943174,0.001961214,0.003228993,2.882131,0.1519989,0.878978,0.3000363,deuteron,k+
220,M_Hermes,0.01840247,0.001922414,0.003972397,2.882131,0.1519989,0.8724461,0.3970383,deuteron,k+
221,M_Hermes,0.01682974,0.001448328,0.006833832,2.882131,0.1519989,0.8675789,0.5160268,deuteron,k+
222,M_Hermes,0.01268113,0.001086922,0.00262048,2.882131,0.1519989,0.8658775,0.689245,deuteron,k+
223,M_Hermes,0.002729297,0.000301044,0.000564686,2.882131,0.1519989,0.8562692,0.9541869,deuteron,k+
224,M_Hermes,0.439512,0.03714945,0.07099817,5.223411,0.2530129,0.1439838,0.1034721,deuteron,k+
225,M_Hermes,0.6862615,0.07323584,0.07249269,5.223411,0.2530129,0.1438676,0.2003847,deuteron,k+
