  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
415,11.0,0.446855,0.480825,0.473981,4.419122,0.294069,AUT,0.0,0.013752,0.070207,0.002101,neutron,pi+,solid
416,11.0,0.342383,0.628767,0.474351,4.428110,0.486583,AUT,0.0,0.042663,0.070207,0.001737,neutron,pi+,solid
417,11.0,0.438645,0.493310,0.473959,4.448242,0.482508,AUT,0.0,0.035385,0.070207,0.002068,neutron,pi+,solid
418,11.0,0.359456,0.610903,0.476847,4.495104,0.650873,AUT,0.0,0.050334,0.070207,0.001790,neutron,pi+,solid
419,11.0,0.355279,0.610963,0.523675,4.458415,0.127967,AUT,0.0,0.008722,0.070207,0.001801,neutron,pi+,solid
420,11.0,0.444813,0.490324,0.523506,4.490533,0.134205,AUT,0.0,0.023784,0.070207,0.002132,neutron,pi+,solid
421,11.0,0.328055,0.641862,0.523860,4.342104,0.299546,AUT,0.0,0.009110,0.070207,0.001717,neutron,pi+,solid
422,11.0,0.406450,0.544664,0.524003,4.527027,0.293179,AUT,0.0,0.010461,0.070207,0.001979,neutron,pi+,solid
423,11.0,0.495443,0.443303,0.522637,4.533961,0.298824,AUT,0.0,0.099500,0.070207,0.002368,neutron,pi+,solid
424,11.0,0.352886,0.613831,0.524305,4.436280,0.487022,AUT,0.0,0.026928,0.070207,0.001793,neutron,pi+,solid
425,11.0,0.457936,0.469576,0.522081,4.435870,0.468296,AUT,0.0,0.060832,0.070207,0.002188,neutron,pi+,solid
426,11.0,0.354353,0.616350,0.525398,4.478466,0.678213,AUT,0.0,0.053497,0.070207,0.001799,neutron,pi+,solid
427,11.0,0.325947,0.641352,0.573735,4.311096,0.243315,AUT,0.0,0.008658,0.070207,0.001736,neutron,pi+,solid
428,11.0,0.381042,0.585444,0.573894,4.592140,0.228299,AUT,0.0,0.009885,0.070207,0.001921,neutron,pi+,solid
429,11.0,0.447571,0.482874,0.572724,4.452689,0.241573,AUT,0.0,0.018088,0.070207,0.002188,neutron,pi+,solid
430,11.0,0.338627,0.633624,0.574343,4.417339,0.548946,AUT,0.0,0.025131,0.070207,0.001776,neutron,pi+,solid
431,11.0,0.416566,0.533740,0.572997,4.578883,0.519567,AUT,0.0,0.040417,0.070207,0.002056,neutron,pi+,solid
432,11.0,0.334716,0.635050,0.623720,4.381447,0.243878,AUT,0.0,0.008936,0.070207,0.001792,neutron,pi+,solid
433,11.0,0.404547,0.550564,0.623243,4.577990,0.229770,AUT,0.0,0.012075,0.070207,0.002050,neutron,pi+,solid
434,11.0,0.342979,0.629193,0.624103,4.437486,0.567732,AUT,0.0,0.021083,0.070207,0.001820,neutron,pi+,solid
435,11.0,0.426492,0.535223,0.620276,4.710168,0.484508,AUT,0.0,0.078579,0.070207,0.002143,neutron,pi+,solid
436,11.0,0.347716,0.621083,0.673615,4.442704,0.242687,AUT,0.0,0.009311,0.070207,0.001869,neutron,pi+,solid
437,11.0,0.418526,0.541418,0.671062,4.674620,0.218013,AUT,0.0,0.026132,0.070207,0.002157,neutron,pi+,solid
438,11.0,0.340343,0.633685,0.673243,4.437211,0.555212,AUT,0.0,0.020394,0.070207,0.001843,neutron,pi+,solid
439,11.0,0.390303,0.649518,0.323610,5.229835,0.125130,AUT,0.0,0.010956,0.070207,0.001809,neutron,pi+,solid
440,11.0,0.424168,0.620867,0.323750,5.434739,0.121347,AUT,0.0,0.011754,0.070207,0.001917,neutron,pi+,solid
441,11.0,0.455499,0.584458,0.323828,5.492665,0.118980,AUT,0.0,0.012571,0.070207,0.002026,neutron,pi+,solid
