  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
199,11.0,0.226551,0.533981,0.324906,2.489988,0.478763,AUT,0.0,0.006245,0.070207,0.008518,proton,pi-,solid
200,11.0,0.292323,0.420647,0.325012,2.518137,0.476913,AUT,0.0,0.004799,0.070207,0.008318,proton,pi-,solid
201,11.0,0.377440,0.364483,0.325107,2.839312,0.477903,AUT,0.0,0.020941,0.070207,0.008094,proton,pi-,solid
202,11.0,0.192192,0.625632,0.325392,2.393867,0.703202,AUT,0.0,0.005724,0.070207,0.008652,proton,pi-,solid
203,11.0,0.309128,0.414186,0.325647,2.635624,0.665891,AUT,0.0,0.016944,0.070207,0.008266,proton,pi-,solid
204,11.0,0.147706,0.747253,0.373298,2.265458,0.126687,AUT,0.0,0.007014,0.070207,0.008900,proton,pi-,solid
205,11.0,0.186132,0.628048,0.373818,2.406025,0.128066,AUT,0.0,0.007021,0.070207,0.008751,proton,pi-,solid
206,11.0,0.235940,0.504954,0.373902,2.441736,0.132015,AUT,0.0,0.007554,0.070207,0.008577,proton,pi-,solid
207,11.0,0.313464,0.389406,0.373850,2.509895,0.133149,AUT,0.0,0.008790,0.070207,0.008363,proton,pi-,solid
208,11.0,0.140129,0.779279,0.373891,2.242976,0.294621,AUT,0.0,0.008853,0.070207,0.008929,proton,pi-,solid
209,11.0,0.170396,0.669573,0.373843,2.351074,0.294648,AUT,0.0,0.008208,0.070207,0.008814,proton,pi-,solid
210,11.0,0.195339,0.594143,0.373761,2.393169,0.298259,AUT,0.0,0.007069,0.070207,0.008718,proton,pi-,solid
211,11.0,0.220039,0.536981,0.373773,2.436323,0.300564,AUT,0.0,0.006789,0.070207,0.008628,proton,pi-,solid
212,11.0,0.249131,0.473541,0.373736,2.431433,0.300766,AUT,0.0,0.006914,0.070207,0.008536,proton,pi-,solid
213,11.0,0.291087,0.406281,0.373693,2.435162,0.300382,AUT,0.0,0.007073,0.070207,0.008420,proton,pi-,solid
